Bankleitzahl,BIC
21741674,COBADEFF211
21741825,COBADEFF220
21750000,NOLADE21NOS
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21750000,
21751230,
21751230,NOLADE21BRD
21762550,GENODEF1HUM
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21762550,
21763542,GENODEF1BDS
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21763542,
21770011,DEUTDEHH217
21770024,DEUTDEDB217
21791805,GENODEF1SYL
21791805,
21791906,GENODEF1WYK
21791906,
21791906,
21791906,
21791906,
21830030,HYVEDEMM340
21830032,HYVEDEMM341
21830033,HYVEDEMM342
21830034,HYVEDEMM343
21830035,HYVEDEMM346
21840078,COBADEFF218
21841328,COBADEFF219
21851720,NOLADE21MRN
21851830,NOLADE21MLD
21852310,NOLADE21WEB
21852310,
21852310,
21852310,
21852310,
21852310,
